chunks,entities,assertion
chronic obstructive pulmonary disease,Disease_Syndrome_Disorder,present
"al, 2013",Date,present
“Bronchoscopic LVR,Procedure,present
COPD,Disease_Syndrome_Disorder,present
2014,RelativeDate,present
COPD,Disease_Syndrome_Disorder,present
progressive,Modifier,present
National Emphysema,Disease_Syndrome_Disorder,present
LVRS,Procedure,present
debilitated,Modifier,present
COPD,Disease_Syndrome_Disorder,present
BLVR,Medical_Device,present
In recent years,RelativeDate,present
non-invasive BLVR procedures,Procedure,present
Bronchoscopic lung volume reduction,Procedure,present
hyper-inflation,Internal_organ_or_component,present
emphysema,Disease_Syndrome_Disorder,present
surgical resection,Procedure,present
BLVR devices,Medical_Device,present
endobronchial valves,Medical_Device,present
foam sealant,Medical_Device,present
metallic coils,Medical_Device,present
airway bypass stents,Medical_Device,present
vapor thermal ablation,Procedure,present
Endobronchial valves,Internal_organ_or_component,present
affected,Modifier,present
emphysematous regions,Symptom,present
lobar absorption atelectasis,Disease_Syndrome_Disorder,present
Airway bypass stents,Procedure,present
homogenous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
valves and thermal vapor ablation,Procedure,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
endoscopic coil implants,Medical_Device,present
heterogeneous,Modifier,absent
emphysema,Disease_Syndrome_Disorder,absent
BLVR,Procedure,possible
COPD,Disease_Syndrome_Disorder,present
Ludwig Boltzmann Institute,Clinical_Dept,present
endobronchial valve implantation,Procedure,present
emphysema,Disease_Syndrome_Disorder,present
‘endobronchial valve implantation,Procedure,present
severe,Modifier,present
pulmonary emphysema’,Symptom,present
Bronchoscopic Lung Volume Reduction,Procedure,present
Severe,Modifier,present
Emphysema,Disease_Syndrome_Disorder,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
limited,Modifier,present
Lung volume reduction,Procedure,present
nitinol coils,Medical_Device,present
bronchoscopic intervention,Procedure,present
regional parenchymal volume reduction,Procedure,present
lung recoil,Symptom,present
researchers,Employment,present
nitinol coils,Medical_Device,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
10 university hospitals,Clinical_Dept,present
emphysema,Disease_Syndrome_Disorder,present
March,Date,present
October 2013,Date,present
December 2014,Date,present
bronchodilators,Drug_Ingredient,hypothetical
inhaled,Route,hypothetical
corticosteroids,Drug_Ingredient,hypothetical
oxygen,Oxygen_Therapy,hypothetical
bilateral,Direction,hypothetical
coil treatment,Procedure,hypothetical
bilateral,Direction,hypothetical
lobes,Internal_organ_or_component,hypothetical
at 6 months,RelativeDate,present
at 6 and 12 months,RelativeDate,present
lung,Internal_organ_or_component,present
St George's Respiratory Questionnaire,Test,present
71,Age,present
men,Gender,present
29,Age,present
women,Gender,present
mean age of 62 years,Age,present
At 6 months,RelativeDate,present
St George's Respiratory Questionnaire,Test,present
Within 12 months,RelativeDate,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
for 6 months,Duration,present
bronchoscopic treatment,Procedure,present
nitinol coils,Medical_Device,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
heterogeneous,Modifier,absent
emphysema,Disease_Syndrome_Disorder,present
physicians,Employment,present
COPD,Disease_Syndrome_Disorder,present
Endobronchial Valves,Medical_Device,present
Advanced,Modifier,present
Emphysema,Disease_Syndrome_Disorder,present
bronchoscopic lung volume reduction,Procedure,present
endobronchial valves,Procedure,present
EBV,Test,present
advanced,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
emphysema,Disease_Syndrome_Disorder,present
for 3 to 12 months,Duration,present
EBV,Test,present
EBV,Test,present
advanced,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
EBV,Test,present
FEV1,Test,present
FEV1%,Test,present
St George's Respiratory Questionnaire,Test,present
SGRQ,Test,present
6MWD test,Test,conditional
Modified Medical Research Council,Clinical_Dept,conditional
MMRC,Symptom,conditional
dyspnea score,Symptom,conditional
at 3 or 12 months,RelativeDate,hypothetical
EBV,Test,possible
FEV1%,Test,possible
EBV,Test,absent
SGRQ score,Test,possible
MMRC dyspnea score,Symptom,present
EBV,Test,absent
hemoptysis,Symptom,absent
RR,Test,absent
AES,Disease_Syndrome_Disorder,absent
respiratory failure,VS_Finding,present
empyema,Disease_Syndrome_Disorder,present
pneumonia,Disease_Syndrome_Disorder,present
pneumothorax,Disease_Syndrome_Disorder,present
EBV,Test,possible
EBV,Test,absent
not significant,Test_Result,absent
2.03,Test_Result,absent
EBV lung volume reduction,Procedure,present
advanced,Modifier,possible
emphysema,Disease_Syndrome_Disorder,possible
EBV,Test,possible
bronchoscopic lung volume reduction,Procedure,present
EBV,Test,hypothetical
advanced,Modifier,hypothetical
emphysema,Disease_Syndrome_Disorder,hypothetical
EBV placement,Procedure,present
single specialist center,Employment,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
lobe,Internal_organ_or_component,present
inter-lobar fissures,Internal_organ_or_component,present
significant,Modifier,absent
gas trapping,Symptom,present
total lung capacity,Symptom,present
breathlessness,Symptom,present
dyspnea score of greater than or equal to 3] and exercise limitation,Symptom,hypothetical
Subjects,Gender,present
non-smokers,Smoking,present
unilateral,Direction,present
lobar EBV placement,Procedure,present
lobar atelectasis,Disease_Syndrome_Disorder,present
bronchoscopy,Procedure,possible
“sham” valve placement,Procedure,present
FEV1,Test,present
arm,External_body_part_or_region,present
arm,External_body_part_or_region,present
90 days post-procedure,RelativeDate,present
lung,Internal_organ_or_component,present
arm,External_body_part_or_region,present
male,Gender,present
FEV1%,Test,present
FEV1,Test,present
arm,External_body_part_or_region,present
arm,External_body_part_or_region,present
clinically significant,Modifier,present
improvements in lung volumes,Symptom,present
carbon monoxide gas transfer,ImagingFindings,present
arm,External_body_part_or_region,present
prolonged,Modifier,present
pneumothorax,Disease_Syndrome_Disorder,present
arm,External_body_part_or_region,present
significant,Modifier,present
improvement in lung function,Symptom,present
lobar occlusion,Disease_Syndrome_Disorder,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
BLVR,Procedure,present
in the recent years,RelativeDate,present
BLVR procedures,Procedure,present
moderate-to-severe,Modifier,present
COPD,Disease_Syndrome_Disorder,present
BLVR,Procedure,present
moderate-to-severe,Modifier,present
COPD,Disease_Syndrome_Disorder,present
"December 7, 2016",Date,present
RCTs,Test,present
95,Test_Result,present
FEV1,Test,present
IQR,Test,present
12 units,Dosage,present
22 units to -5 units,Dosage,present
3 units,Dosage,present
5 units,Dosage,present
1 units,Dosage,present
OR,Clinical_Dept,possible
AEs,Symptom,possible
AeriSeal,Drug_BrandName,possible
OR,Clinical_Dept,possible
airway bypass stents,Medical_Device,present
lead,Medical_Device,absent
5.58 units,Dosage,present
1.58 units,Dosage,present
OR 0.76,Clinical_Dept,possible
significant,Modifier,possible
differences in adverse events,Symptom,hypothetical
endobronchial coils,Medical_Device,present
9.14 units,Dosage,present
OR,Clinical_Dept,possible
AEs,Symptom,possible
coils,Medical_Device,possible
OR,Clinical_Dept,possible
endobronchial valves,Internal_organ_or_component,possible
significant,Modifier,absent
improvements in FEV1,Symptom,present
7.29 units,Dosage,present
11.12 units,Dosage,present
3.45 units,Dosage,present
OR,Clinical_Dept,possible
AEs,Symptom,possible
endobronchial valve,Internal_organ_or_component,present
collateral ventilation,Oxygen_Therapy,possible
partial,Modifier,possible
bilateral,Direction,possible
placement of intra-bronchial valves,Procedure,present
FEV1,Test,possible
groups,Internal_organ_or_component,absent
significant,Modifier,hypothetical
differences in SGRQ scores,Symptom,present
0.28 units,Dosage,possible
5.56 units,Dosage,present
OR,Clinical_Dept,hypothetical
AEs,Symptom,hypothetical
OR 3.41,Clinical_Dept,hypothetical
intra-bronchial valves,Medical_Device,present
unilateral,Direction,absent
bilateral,Direction,absent
placement,Procedure,present
significant,Modifier,present
improvements in FEV1,Symptom,present
unilateral,Direction,absent
significant,Modifier,present
mean between-group differences in FEV1,Symptom,present
9.70 units,Dosage,present
15.62 units,Dosage,present
3.78 units,Dosage,present
vapor ablation,Procedure,present
OR 2.82,Clinical_Dept,possible
vapor ablation,Procedure,present
AEs,Symptom,possible
OR,Clinical_Dept,possible
BLVR procedures,Procedure,present
up to 1 year,RelativeDate,present
increased,Modifier,present
AEs,Symptom,present
BLVR procedures,Procedure,present
significant,Modifier,present
heterogeneity,Symptom,present
endobronchial valves,Internal_organ_or_component,present
endobronchial valves,Internal_organ_or_component,present
National Institute,Clinical_Dept,present
Clinical Excellence’s guidance,Test,present
“Endobronchial valve insertion,Procedure,present
lung volume,Internal_organ_or_component,hypothetical
endobronchial valve insertion,Procedure,hypothetical
lung volume,Internal_organ_or_component,hypothetical
emphysema,Disease_Syndrome_Disorder,hypothetical
multi-disciplinary team,Clinical_Dept,hypothetical
managing,Modifier,hypothetical
emphysema,Disease_Syndrome_Disorder,hypothetical
chest physician,Employment,hypothetical
radiologist,Employment,hypothetical
thoracic surgeon,Employment,hypothetical
respiratory nurse,Employment,hypothetical
pulmonary rehabilitation,Treatment,present
lung,Internal_organ_or_component,present
inter-lobar collateral ventilation,Symptom,hypothetical
Chronic,Modifier,present
Obstructive Lung Disease’s,Disease_Syndrome_Disorder,present
chronic,Modifier,present
obstructive pulmonary disease”,Disease_Syndrome_Disorder,present
2010,Date,present
endobronchial vale,Procedure,present
advance,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
“choosing bronchoscopic lung reduction,Procedure,present
coil placement,Procedure,present
endobronchial valve,Procedure,possible
surgical resection,Procedure,possible
lung volume reduction surgery,Procedure,present
LVRS,Procedure,present
emphysematous,Disease_Syndrome_Disorder,possible
emphysema,Disease_Syndrome_Disorder,present
high-resolution computed tomography,Test,present
HRCT,Test,present
interlobar collateral ventilation,Test,present
HRCT,Test,present
physiological assessment,Test,present
endoscopic balloon occlusion,Procedure,present
flow assessment,Test,present
provider,Employment,present
heterogeneous or homogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
surgical or bronchoscopic modes of lung volume reduction,Procedure,present
endobronchial 1-way valves,Medical_Device,possible
lung coils,Medical_Device,possible
advanced,Modifier,present
emphysema bronchoscopic,Disease_Syndrome_Disorder,present
end-expiratory lung volume,Symptom,present
improves exercise tolerance,Symptom,present
lung,Internal_organ_or_component,present
6 to 12 months following,RelativeDate,present
Endobronchial valve,Internal_organ_or_component,present
lung coils,Medical_Device,present
"June 29, 2018",Date,present
Zephyr Endobronchial Valve,Medical_Device,present
Zephyr Valve,Medical_Device,present
breathing difficulty,Symptom,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,hypothetical
Zephyr Valve device,Medical_Device,present
active,Modifier,present
lung infections,Disease_Syndrome_Disorder,absent
allergic,Disease_Syndrome_Disorder,present
nitinol,Medical_Device,present
nickel,Drug_Ingredient,present
titanium,Medical_Device,present
silicone,Medical_Device,absent
smokers,Smoking,present
bronchoscopic procedure,Procedure,present
lung procedures,Procedure,present
heart disease,Heart_Disease,present
large,Modifier,present
bubbles of air trapped in the lung,Symptom,present
Zephyr Valve device,Medical_Device,hypothetical
Spiration Valve System,Medical_Device,present
"December 3, 2018",Date,present
Spiration Valve System,Medical_Device,present
lungs,Internal_organ_or_component,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
pulmonary rehabilitation,Treatment,present
oxygen,Oxygen_Therapy,present
COPD,Disease_Syndrome_Disorder,present
tobacco smoke,Smoking,present
Spiration Valve System,Medical_Device,present
COPD,Disease_Syndrome_Disorder,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
severe,Modifier,present
airflow obstruction,Disease_Syndrome_Disorder,present
hyper-inflation,Modifier,present
severe,Modifier,present
dyspnea,Symptom,present
interlobar fissure,Internal_organ_or_component,present
FEV1,Test,possible
through 6 months,RelativeDate,absent
lobe volume reduction,Procedure,present
at 3 months,RelativeDate,present
deterioration in the control group,Symptom,present
acute,Modifier,present
exacerbations,Modifier,present
COPD,Disease_Syndrome_Disorder,present
groups,Internal_organ_or_component,present
severe,Modifier,possible
emphysema,Disease_Syndrome_Disorder,possible
SVS,Internal_organ_or_component,possible
aged,Age,present
40 years of age,Age,present
severe,Modifier,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
FEV1,Test,present
to 6 months,RelativeDate,present
difference in FEV1 responder rates,Symptom,present
lobe volume reduction,Procedure,present
dyspnea,Symptom,present
exercise capacity,Symptom,conditional
composite thoracic SAE,Disease_Syndrome_Disorder,present
arms,External_body_part_or_region,absent
October 2013,Date,present
May 2017,Date,present
total of 172,Height,present
men,Gender,present
mean age of 67.4 years,Age,present
FEV1,Test,possible
at 6 and 12 months,RelativeDate,present
At 6 months,RelativeDate,present
Composite thoracic SAE,Disease_Syndrome_Disorder,present
6 months,Duration,present
serious,Modifier,present
pneumothorax,Disease_Syndrome_Disorder,present
severe,Modifier,present
heterogeneous,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
Digital Chest Drainage System,Medical_Device,present
Pos-Operative Chest Tube,Medical_Device,present
Pulmonary Resection,Procedure,present
Takamochi,Drug_BrandName,present
digital thoracic drainage system,Medical_Device,present
traditional thoracic drainage system,Medical_Device,present
chest tube,Internal_organ_or_component,present
anatomic lung resection,Procedure,possible
segmentectomy,Procedure,possible
lobectomy,Procedure,possible
smoking,Smoking,present
emphysema,Disease_Syndrome_Disorder,possible
chronic obstructive pulmonary disease,Disease_Syndrome_Disorder,possible
chest tube placement,Procedure,present
chest tube placement,Procedure,present
post-operative,Modifier,possible
AEs,Symptom,possible
post-operative,Modifier,possible
air leak,Symptom,present
chest tube placement,Procedure,present
post-operative,Modifier,present
air leak,Symptom,present
3.0 days,Duration,possible
digital thoracic drainage system,Medical_Device,present
chest tube placement,Procedure,present
traditional thoracic drainage system,Medical_Device,present
anatomic lung resection,Procedure,present
digital chest drainage system,Medical_Device,present
traditional chest drainage system,Medical_Device,possible
digital chest drainage system,Medical_Device,present
traditional chest drainage system,Medical_Device,present
pulmonary resection,Procedure,possible
traditional chest drainage system,Medical_Device,present
digital chest drainage system,Medical_Device,present
prolonged,Modifier,present
air leak,Symptom,present
chest drainage,Procedure,present
pulmonary resection,Procedure,present
digital chest drainage system,Medical_Device,present
researchers,Employment,present
digital chest drainage system,Medical_Device,present
Positive,Test_Result,present
Pressure Ventilation,Test,present
Pulmonary Resection,Procedure,present
Lung Cancer,Oncological,present
pulmonary complications,Symptom,present
lung resection,Procedure,present
lung cancer,Oncological,present
intubation,Procedure,present
intensive care unit,Clinical_Dept,present
ICU,Clinical_Dept,present
antibiotics,Drug_Ingredient,present
post-operative pulmonary complications,Disease_Syndrome_Disorder,present
Non-invasive,Test,present
positive,Test_Result,present
pressure ventilation,Test,present
NIPPV,Oxygen_Therapy,present
hospitals,Clinical_Dept,present
pulmonary complications,Symptom,present
researchers,Employment,present
NIPPV,Oxygen_Therapy,present
pulmonary resection,Procedure,present
lung cancer,Oncological,present
"December 21, 2018",Date,present
language restrictions,Symptom,absent
researchers,Employment,present
NIPPV,Oxygen_Therapy,present
pulmonary resection,Procedure,present
respiratory therapy,Treatment,absent
pulmonary complications,Symptom,hypothetical
NIPPV,Oxygen_Therapy,hypothetical
intubation,Procedure,hypothetical
RR 0.60,Respiration,absent
ventilatory mode,Oxygen_Therapy,possible
bi-level,Oxygen_Therapy,possible
CPAP,Oxygen_Therapy,possible
antibiotics,Drug_Ingredient,absent
ICU,Clinical_Dept,absent
NIPPV,Oxygen_Therapy,present
severe,Modifier,present
disease,Disease_Syndrome_Disorder,present
NIPPV,Oxygen_Therapy,present
NIPPV,Oxygen_Therapy,present
pulmonary resection,Procedure,present
pulmonary complications,Disease_Syndrome_Disorder,present
intubation,Procedure,present
antibiotics,Drug_Ingredient,conditional
ICU,Clinical_Dept,conditional
NIPPV,Oxygen_Therapy,present
researchers,Employment,present
Bronchoscopic Thermal Vapor Ablation,Procedure,present
Upper-Lobe Emphysema,Disease_Syndrome_Disorder,present
2012,Date,present
surgical lung volume reduction,Procedure,present
emphysema,Disease_Syndrome_Disorder,hypothetical
bronchoscopic thermal vapor ablation,Procedure,present
lung,Internal_organ_or_component,present
emphysema,Disease_Syndrome_Disorder,present
upper,Direction,present
lobe-predominant emphysema,Disease_Syndrome_Disorder,present
unilaterally,Direction,present
BTVA,Drug_BrandName,present
age of 40 to 75 years,Age,present
FEV1,Test,present
15 %  to 45 %,Test_Result,present
pulmonary rehabilitation,Treatment,present
heterogeneity index,Test,present
tissue/air ratio of lower lobe/upper lobe,Test,present
HRCT,Test,present
greater than or equal to 1.2,Test_Result,possible
Changes in FEV1,Symptom,present
SGRQ,Test,present
6MWD,Test,present
MMRC dyspnea score,Symptom,present
hyperinflation,Symptom,present
3 and 6 months,Frequency,present
At 6 months,RelativeDate,present
RV,Test,present
p < 0.0001,Test_Result,present
14.0 ± 2.4 points,Test_Result,present
MMRC dyspnea score,Symptom,present
during the initial 30 days,RelativeDate,present
BTVA therapy,Treatment,present
lung,Internal_organ_or_component,present
upper lobe,Internal_organ_or_component,present
predominant,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
researchers,Employment,present
arm,External_body_part_or_region,present
incorporation of a control arm,Procedure,possible
arm,External_body_part_or_region,possible
improvements in physiology,Symptom,present
0.05,Test_Result,present
GOLD stage III and IV disease,Disease_Syndrome_Disorder,present
significant,Modifier,present
impairments in health-related QOL,Symptom,present
pulmonary rehabilitation,Treatment,present
upper lobe predominant emphysema,Disease_Syndrome_Disorder,present
lower lobe disease,Disease_Syndrome_Disorder,hypothetical
National Emphysema,Disease_Syndrome_Disorder,present
BODE score,Test,possible
over 6 months,RelativeDate,present
endoscopic lung volume reduction,Procedure,present
ELVR,Procedure,present
hyper-inflation reduction,Procedure,present
advanced,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
segmental vapor ablation,Procedure,present
inflammatory response,Symptom,present
tissue,Internal_organ_or_component,present
volume reduction,Procedure,present
diseased,Modifier,present
emphysematous segments,Symptom,present
lung,Internal_organ_or_component,present
upper,Direction,present
lobe-predominant emphysema,Disease_Syndrome_Disorder,present
researchers,Employment,present
upper,Direction,present
lobe-predominant emphysema,Disease_Syndrome_Disorder,present
FEV1,Test,present
DLCO,Test,possible
greater than or equal to 20 %,Test_Result,possible
BTVA treatment,Procedure,possible
emphysema,Disease_Syndrome_Disorder,present
ipsilateral,Direction,possible
lung lobes,Internal_organ_or_component,possible
sedation,Drug_Ingredient,possible
general,Route,present
anesthesia,Drug_Ingredient,present
BTVA catheter,Medical_Device,present
occlusion balloon,Medical_Device,present
localized,Modifier,present
inflammatory reaction,Symptom,present
National Institute,Clinical_Dept,present
“Bronchoscopic thermal vapor ablation,Procedure,present
bronchoscopic thermal vapor ablation,Procedure,present
upper-lobe emphysema,Disease_Syndrome_Disorder,present
inadequate in quantity and quality,Symptom,present
emphysema,Disease_Syndrome_Disorder,present
BLVR,Drug_Ingredient,present
BTVA,Medical_Device,present
researchers,Employment,present
endobronchial valves,Medical_Device,present
coils,Medical_Device,present
lung,Internal_organ_or_component,present
vapor ablation,Procedure,present
lung volume reduction,Procedure,possible
emphysema,Disease_Syndrome_Disorder,present
Pneumonitis,Disease_Syndrome_Disorder,present
infection,Disease_Syndrome_Disorder,possible
right,Direction,present
BTVA,Test,hypothetical
emphysema,Disease_Syndrome_Disorder,present
COPD,Disease_Syndrome_Disorder,present
prevalent,Modifier,present
progressive,Modifier,present
disease,Disease_Syndrome_Disorder,present
BLVR techniques,Procedure,present
severe,Modifier,present
emphysema,Disease_Syndrome_Disorder,present
EBV/IBV achieve lung volume reduction,Procedure,present
lobar atelectasis,Disease_Syndrome_Disorder,present
lung volume reduction coils,Medical_Device,present
LVRCs,Internal_organ_or_component,present
BTVA,Internal_organ_or_component,present
tissue compression,Symptom,present
inflammatory processes,Symptom,absent
implants,Medical_Device,present
BTVA,Internal_organ_or_component,present
Thoracoscopic Bullectomy,Procedure,present
Trans-Areolar Approach,Medical_Device,present
Primary,Modifier,present
Spontaneous Pneumothorax,Disease_Syndrome_Disorder,present
pneumothorax,Disease_Syndrome_Disorder,present
video-assisted thoracoscopic surgery,Procedure,present
VATS,Procedure,present
apical blebectomy/bullectomy,Procedure,present
pleurodesis,Procedure,present
surgeons,Employment,possible
pleurodesis,Procedure,possible
VATS-directed,Drug_BrandName,possible
insufflation,Route,possible
talc,Drug_Ingredient,possible
bullectomy,Procedure,possible
bullectomy,Procedure,absent
conventional tri-portal VATS,Procedure,present
primary,Modifier,present
spontaneous pneumothorax,Disease_Syndrome_Disorder,present
researchers,Employment,present
trans-areolar pulmonary bullectomy,Procedure,present
researchers,Employment,present
January 2013,Date,present
December 2014,Date,present
112,Age,present
male,Gender,present
trans-areolar pulmonary bullectomy,Procedure,present
thoracoscope,Medical_Device,present
26.5 mins,Duration,present
camera port,Medical_Device,present
discharged,Admission_Discharge,present
discharged,Admission_Discharge,present
POD 4 or 5,RelativeDate,absent
At post-operative month,RelativeDate,present
obvious,Modifier,absent
surgical,Modifier,absent
scar,Symptom,absent
chest wall,External_body_part_or_region,absent
post-operative,Modifier,absent
pain,Symptom,absent
trans-areolar pulmonary bullectomy,Procedure,present
PSP,Test,present
pulmonary bullae,Disease_Syndrome_Disorder,present
areola,External_body_part_or_region,present
common disease,Disease_Syndrome_Disorder,present
men,Gender,present
thoracoscopic,Procedure,present
thoracoscopic pulmonary bullectomy,Procedure,present
thoracoscopic trans-areolar pulmonary bullectomy,Procedure,present
September 2017,Date,present
March 2018,Date,present
researchers,Employment,present
recurrence,Modifier,present
wound-related,Modifier,present
pain,Symptom,present
surgical,Modifier,present
wound,Symptom,present
18.9 ± 4.2 years,Age,present
affected on the right side and 7 patients were affected on the left side,Symptom,present
Bullae,Symptom,present
blebs,Symptom,present
lung,Internal_organ_or_component,present
ports,Medical_Device,absent
thoracotomy,Procedure,absent
39.8 ± 8.6 mins,Time,present
blood lost,Symptom,present
1 day,Duration,present
2 days,Duration,present
wound,Symptom,present
3.2,Test_Result,present
mean numerical rating scale,Test,present
NRS,Test,hypothetical
1.5 on POD 7,Test_Result,present
trans-areolar thoracoscopic pulmonary bullectomy,Procedure,present
treatment of PSP,Procedure,present
post-operative,Modifier,present
pain,Symptom,present
surgical treatment of PSP,Procedure,present
thoracoscopic trans-areolar pulmonary bullectomy,Procedure,present
trans-areolar,Internal_organ_or_component,present
Polyglycolic Acid Patch,Medical_Device,present
Pneumothorax,Disease_Syndrome_Disorder,present
Thoracoscopic Bullectomy,Procedure,present
polyglycolic acid,Drug_Ingredient,present
PGA,Medical_Device,possible
patch,Medical_Device,possible
pulmonary bullae resection,Procedure,possible
PGA,Medical_Device,present
bullectomy,Procedure,present
PGA,Test,possible
non-PGA,Medical_Device,possible
bullectomy,Procedure,possible
average post-operative,Modifier,present
air leakage,Symptom,present
prolonged,Modifier,present
air leaks,Symptom,present
drainage tube removal,Procedure,present
prolonged,Modifier,possible
air leaks,Symptom,present
drainage tube removal,Procedure,present
average,Modifier,present
post-operative,Modifier,present
air leakage,Symptom,present
significant,Modifier,absent
difference between the 2 groups,Symptom,absent
pneumothorax,Disease_Syndrome_Disorder,present
thoracoscopic bullectomy,Procedure,present
PGA patch,Medical_Device,present
pneumothorax,Disease_Syndrome_Disorder,present
thoracic drainage,Symptom,present
prolonged,Modifier,present
post-operative,Modifier,present
air leakage,Symptom,present
PGA patch,Medical_Device,present
hospitalization,Admission_Discharge,present
average,Modifier,present
post-operative,Modifier,present
air leakage,Symptom,present
intra-operative,Modifier,present
bleeding volume,Symptom,possible
calculating,Modifier,present
pneumothorax,Disease_Syndrome_Disorder,present
intra-operative,Modifier,present
bleeding volume,Symptom,present
pulmonary infection,Disease_Syndrome_Disorder,present
heart rate arrhythmia,Heart_Disease,present
pleural effusion,Disease_Syndrome_Disorder,present
